region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
Florida_PNAS_5,Miami-Dade,S1CC,CC 2050,RP050,24020," $842,463.71 ",0.7589248092093559,1.0," $440,033.29 "," $2,064,362.34 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1CC,CC 2050,RP050,61257," $456,080.03 ",0.8602815832513587,1.0," $297,960.14 "," $1,447,839.49 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S1CC,CC 2050,RP100,39631," $364,406.64 ",0.906115056617269,1.0," $286,823.24 "," $341,800.50 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S1CC,CC 2050,RP100,27915," $625,908.09 ",0.8730784596954098,1.0," $412,504.04 "," $1,674,380.73 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S1CC,CC 2050,RP100,29835," $439,842.77 ",0.852064872718143,1.0," $329,246.85 "," $864,359.32 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S1CC,CC 2050,RP100,77596," $373,721.68 ",0.8917673514464385,1.0," $313,967.90 "," $514,908.32 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S1CC,CC 2050,RP100,23908," $422,738.90 ",0.9097416460323587,1.0," $292,930.73 "," $958,808.68 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S1CC,CC 2050,RP100,24020," $900,569.50 ",0.7809435441160612,1.0," $452,786.87 "," $2,272,631.76 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1CC,CC 2050,RP100,61257," $467,533.74 ",0.8726384343898942,1.0," $302,132.73 "," $1,489,999.36 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2CC,No Mangroves + CC 2050,RP010,39631," $306,573.91 ",0.768910779502504,0.997015803182125," $233,032.29 "," $309,549.21 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2CC,No Mangroves + CC 2050,RP010,27915," $521,706.18 ",0.7687743644823947,1.0," $352,910.92 "," $1,080,584.74 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2CC,No Mangroves + CC 2050,RP010,29835," $350,573.90 ",0.6912542811261607,0.8051321559202671," $246,074.63 "," $690,193.30 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2CC,No Mangroves + CC 2050,RP010,77596," $301,158.17 ",0.7382464320696757,0.9178584661924839," $235,976.95 "," $385,159.12 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2CC,No Mangroves + CC 2050,RP010,23908," $359,377.94 ",0.7936539954846632,1.0," $246,880.39 "," $820,143.06 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2CC,No Mangroves + CC 2050,RP010,24020," $685,901.41 ",0.6495230135715391,0.4867126600745837," $380,489.55 "," $1,633,429.26 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2CC,No Mangroves + CC 2050,RP010,61257," $406,537.58 ",0.7651634430103073,1.0," $267,472.26 "," $1,365,756.57 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2CC,No Mangroves + CC 2050,RP025,39631," $343,598.82 ",0.8640596417093757,1.0," $270,815.21 "," $322,280.42 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2CC,No Mangroves + CC 2050,RP025,27915," $573,614.48 ",0.8343771553871536,1.0," $390,782.01 "," $1,237,182.61 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2CC,No Mangroves + CC 2050,RP025,29835," $400,515.85 ",0.7881602057177766,1.0," $292,546.10 "," $746,349.82 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2CC,No Mangroves + CC 2050,RP025,77596," $348,652.95 ",0.8476399504916873,1.0," $292,653.90 "," $422,864.53 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2CC,No Mangroves + CC 2050,RP025,23908," $393,493.65 ",0.8620869065676037,1.0," $271,594.35 "," $879,580.19 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2CC,No Mangroves + CC 2050,RP025,24020," $780,389.17 ",0.7266170378126785,0.9212152364110946," $424,727.65 "," $1,857,398.68 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2CC,No Mangroves + CC 2050,RP025,61257," $437,850.75 ",0.8299320378567929,1.0," $288,105.23 "," $1,397,297.49 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2CC,No Mangroves + CC 2050,RP050,39631," $358,377.95 ",0.8953422558626479,1.0," $282,446.23 "," $334,265.16 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2CC,No Mangroves + CC 2050,RP050,27915," $603,303.13 ",0.8588020592256671,1.0," $403,812.30 "," $1,434,047.47 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2CC,No Mangroves + CC 2050,RP050,29835," $428,291.30 ",0.8369465090911916,1.0," $319,809.13 "," $825,608.57 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2CC,No Mangroves + CC 2050,RP050,77596," $365,210.06 ",0.8797868875228394,1.0," $307,689.66 "," $458,795.10 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2CC,No Mangroves + CC 2050,RP050,23908," $414,333.36 ",0.9004281450285495,1.0," $287,280.66 "," $921,482.50 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2CC,No Mangroves + CC 2050,RP050,24020," $843,507.06 ",0.7593881451297213,1.0," $440,238.98 "," $2,067,660.89 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2CC,No Mangroves + CC 2050,RP050,61257," $456,163.80 ",0.8604141679324364,1.0," $297,960.14 "," $1,448,054.40 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S2CC,No Mangroves + CC 2050,RP100,39631," $365,083.36 ",0.9073030445967494,1.0," $287,296.36 "," $342,873.08 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S2CC,No Mangroves + CC 2050,RP100,27915," $627,636.73 ",0.8746210461100801,1.0," $413,181.60 "," $1,686,848.20 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S2CC,No Mangroves + CC 2050,RP100,29835," $440,005.22 ",0.8522581328224644,1.0," $329,413.28 "," $864,868.86 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S2CC,No Mangroves + CC 2050,RP100,77596," $374,718.07 ",0.8933618444458803,1.0," $314,891.15 "," $517,952.91 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2CC,No Mangroves + CC 2050,RP100,23908," $422,784.59 ",0.9097866964122678,1.0," $292,930.73 "," $959,096.64 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2CC,No Mangroves + CC 2050,RP100,24020," $901,044.63 ",0.7812809580429384,1.0," $452,902.32 "," $2,273,885.07 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2CC,No Mangroves + CC 2050,RP100,61257," $467,604.87 ",0.8727279848191289,1.0," $302,132.73 "," $1,490,163.14 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
